Sold,Selling Price,Make,Model,Mileage,Displacement (L),Aspiration,Cylinder Config,Drivetrain,Transmission,Gears,Body Style,Exterior Color,Interior Color,Title Status,Location,Seller Type,Model Year Age,Has Executive Package,Has Carbon Equipment,Has Lane Tracking Equipment,Has Leather Equipment,Has Premium Sound,Has Sunroof,Has Accident History,Has Cosmetic Flaw,Has Modifications
False,102500.0,chevrolet,c8 corvette,2400.0,5.5,Naturally Aspirated,v8,RWD,automatic,8.0,coupe,Black,Black,clean,mo,private party,1,0,0,0,0,0,0,0,1,1
True,30500.0,bmw,z4,96500.0,3.2,Naturally Aspirated,i6,RWD,manual,6.0,coupe,Gray,Black,clean,ca,private party,18,0,1,0,1,0,0,1,1,1
False,17500.0,bmw,2 series,95100.0,3.0,turbocharged,i6,4WD/AWD,automatic,8.0,coupe,Blue,Black,clean,ca,private party,7,0,0,0,0,0,0,0,1,1
False,12000.0,dodge,charger,53800.0,5.2,Naturally Aspirated,v8,RWD,automatic,3.0,coupe,Red,Black,clean,mn,private party,52,0,0,0,0,0,0,0,1,0
True,81000.0,chevrolet,camaro,1800.0,6.2,supercharged,v8,RWD,manual,6.0,coupe,Black,Black,clean,ny,private party,2,0,1,0,0,0,0,0,0,0
True,24000.0,mercedes-benz,s-class,26400.0,6.0,Naturally Aspirated,v12,RWD,automatic,4.0,coupe,Black,Black,clean,mo,dealer,30,0,0,0,1,0,1,0,0,0
False,13500.0,lexus,sc,40000.0,4.0,Naturally Aspirated,v8,RWD,automatic,4.0,coupe,White,Other,clean,il,dealer,28,0,0,0,1,0,1,1,1,0
True,34750.0,toyota,gr86,2000.0,2.4,Naturally Aspirated,flat-4,RWD,manual,6.0,coupe,Other,Black,clean,co,private party,2,0,0,0,0,0,0,0,0,1
True,8100.0,bmw,6 series,49900.0,4.8,Naturally Aspirated,v8,RWD,automatic,6.0,coupe,Black,Other,clean,ca,dealer,17,0,0,0,1,0,0,0,1,0
True,23000.0,chevrolet,c4 corvette,53400.0,5.7,Naturally Aspirated,v8,RWD,manual,6.0,coupe,Red,Other,registered,ny,private party,35,0,0,0,1,0,0,0,1,0
False,162534.0,porsche,992 911,8500.0,3.0,turbocharged,flat-6,RWD,automatic,8.0,coupe,Other,Black,clean,tn,private party,1,0,0,0,1,0,1,0,1,1
True,60750.0,mercedes-benz,amg gt,59000.0,4.0,turbocharged,v8,RWD,automatic,7.0,coupe,Other,Black,clean,co,private party,9,0,1,1,1,1,0,1,1,1
True,67000.0,porsche,991 911,63600.0,3.8,Naturally Aspirated,flat-6,4WD/AWD,manual,7.0,coupe,Gray,Red,clean,ca,private party,12,0,0,0,0,1,0,1,1,1
False,42250.0,dodge,dart,900.0,6.2,supercharged,v8,RWD,automatic,4.0,coupe,Red,Black,clean,mo,dealer,57,0,0,0,0,0,0,0,0,0
True,22498.0,porsche,996 911,108800.0,3.4,Naturally Aspirated,flat-6,RWD,manual,6.0,coupe,Black,Black,clean,ca,private party,26,0,0,0,1,0,1,1,1,1
True,35750.0,bmw,m2,36500.0,3.0,turbocharged,i6,RWD,automatic,7.0,coupe,White,Black,clean,tx,private party,8,1,1,0,0,0,0,0,1,0
True,8000.0,mercedes-benz,cl-class,106200.0,5.5,Naturally Aspirated,v8,4WD/AWD,automatic,7.0,coupe,Black,Black,clean,sc,private party,15,0,0,0,1,0,1,1,1,1
True,27000.0,audi,s5,31500.0,3.0,supercharged,v6,4WD/AWD,manual,6.0,coupe,Red,Black,clean,il,private party,11,0,0,0,1,0,1,0,1,0
False,26500.0,mercury,cougar,99200.0,5.0,Naturally Aspirated,v8,RWD,manual,5.0,coupe,Other,Black,clean,nc,private party,57,0,0,0,0,0,0,0,1,0
True,13000.0,bmw,1 series,89400.0,3.0,turbocharged,i6,RWD,manual,6.0,coupe,Black,Black,clean,il,private party,16,0,0,0,1,0,1,0,1,1
True,19500.0,ford,mustang,79900.0,5.0,Naturally Aspirated,v8,RWD,manual,6.0,coupe,Other,Other,clean,nm,private party,9,0,0,0,1,0,0,0,1,1
True,27250.0,ford,mustang,10000.0,6.7,Naturally Aspirated,v8,RWD,manual,4.0,coupe,Black,Black,clean,az,private party,52,0,0,0,0,0,0,0,1,0
True,72000.0,bmw,1 series m,24300.0,3.0,turbocharged,i6,RWD,manual,6.0,coupe,Other,Black,clean,ca,private party,14,0,0,0,0,0,0,0,1,0
True,142000.0,ferrari,f430,5000.0,4.3,Naturally Aspirated,v8,RWD,automatic,6.0,coupe,Other,Other,clean,ca,private party,17,0,1,0,1,0,0,0,0,1
True,176000.0,dodge,viper,2000.0,8.4,Naturally Aspirated,v10,RWD,manual,6.0,coupe,White,Black,clean,nj,private party,11,0,1,0,1,0,0,0,0,1
False,24100.0,bmw,2 series,76200.0,3.0,turbocharged,i6,4WD/AWD,automatic,8.0,coupe,Gray,Other,clean,wi,private party,6,0,0,0,0,0,0,0,1,0
True,9600.0,mercedes-benz,cl-class,64000.0,5.0,Naturally Aspirated,v8,RWD,automatic,5.0,coupe,Black,Other,clean,ga,dealer,23,0,0,0,0,0,1,0,1,0
True,19050.0,chevrolet,c5 corvette,37900.0,5.7,Naturally Aspirated,v8,RWD,manual,6.0,coupe,Red,Black,clean,fl,private party,23,0,0,0,1,0,0,0,1,1
True,17750.0,bmw,1 series,64000.0,3.0,turbocharged,i6,RWD,automatic,7.0,coupe,Black,Black,clean,ca,private party,12,0,0,0,1,0,0,0,1,0
False,19000.0,audi,tt,59400.0,2.0,turbocharged,i4,4WD/AWD,automatic,6.0,coupe,Blue,Black,clean,ga,private party,8,0,0,0,1,0,0,0,1,0
True,28250.0,porsche,987 cayman,88000.0,3.4,Naturally Aspirated,flat-6,RWD,manual,6.0,coupe,Red,Black,clean,pa,private party,17,0,0,0,1,0,0,0,1,1
True,13100.0,toyota,celica,182000.0,2.0,turbocharged,i4,4WD/AWD,manual,5.0,coupe,White,Gray,clean,nc,private party,29,0,0,0,0,0,1,0,1,1
True,60500.0,dodge,challenger,9300.0,6.2,supercharged,v8,RWD,automatic,8.0,coupe,Other,Black,clean,ny,dealer,6,0,0,0,0,0,0,0,1,0
True,230000.0,porsche,992 911,2700.0,3.8,turbocharged,flat-6,4WD/AWD,automatic,8.0,coupe,White,Other,clean,id,dealer,3,0,0,0,0,0,1,0,0,0
True,125000.0,porsche,911,75200.0,3.3,turbocharged,flat-6,RWD,manual,4.0,coupe,Gray,Black,clean,fl,private party,40,0,0,0,1,0,1,1,1,1
False,34000.0,bentley,continental,84100.0,4.0,turbocharged,v8,4WD/AWD,automatic,8.0,coupe,White,Black,clean,fl,dealer,11,0,0,0,1,0,0,1,1,0
True,45000.0,ford,mustang,4250.0,,5.0l,v8,RWD,manual,6.0,coupe,Red,Black,clean,ky,private party,11,0,0,0,0,0,0,0,0,1
False,51500.0,aston martin,db9,36200.0,5.9,Naturally Aspirated,v12,RWD,automatic,6.0,coupe,White,Black,clean,sc,private party,10,0,1,0,1,0,0,0,1,0
False,51500.0,chevrolet,c7 corvette,6400.0,6.2,Naturally Aspirated,v8,RWD,automatic,8.0,coupe,White,Gray,clean,tx,dealer,6,0,1,0,1,0,0,0,1,1
False,13400.0,bmw,2 series,81700.0,3.0,turbocharged,i6,RWD,manual,6.0,coupe,Black,Black,clean,co,private party,11,0,0,0,1,0,0,1,1,1
True,9300.0,bmw,1 series,122500.0,3.0,Naturally Aspirated,i6,RWD,manual,6.0,coupe,Blue,Black,clean,ca,dealer,17,0,0,0,1,0,1,1,1,0
False,76500.0,porsche,991 911,26600.0,3.0,turbocharged,flat-6,RWD,automatic,7.0,coupe,Other,Black,clean,ga,private party,8,0,1,0,1,0,1,0,0,0
False,25750.0,bmw,6 series,80000.0,3.7,Naturally Aspirated,i6,RWD,manual,5.0,coupe,Red,Black,clean,ca,private party,42,0,0,0,1,0,1,1,1,1
False,36750.0,chevrolet,camaro,9400.0,6.3,v8,(383ci),RWD,manual,5.0,coupe,Red,White,clean,in,private party,56,0,0,0,0,0,0,0,1,0
True,43000.0,lotus,evora,30700.0,3.5,supercharged,v6,RWD,manual,6.0,coupe,White,Black,clean,va,private party,14,0,0,0,1,0,0,1,1,1
False,30250.0,dodge,challenger,36000.0,6.4,Naturally Aspirated,v8,RWD,automatic,8.0,coupe,Other,Black,clean,nc,private party,4,0,0,0,1,0,1,1,1,0
True,10750.0,chevrolet,c5 corvette,172500.0,5.7,Naturally Aspirated,v8,RWD,manual,6.0,coupe,Red,Other,clean,ga,dealer,23,0,0,0,1,0,0,0,1,1
True,357000.0,lamborghini,huracan,5000.0,5.2,Naturally Aspirated,v10,RWD,automatic,7.0,coupe,Other,Other,clean,nj,private party,3,0,1,0,0,0,0,0,0,1
False,65000.0,mercedes-benz,cl amg,27600.0,6.0,turbocharged,v12,RWD,automatic,5.0,coupe,Black,Black,clean,fl,private party,11,0,0,0,1,0,1,0,1,0
False,26250.0,bmw,m2,85200.0,3.0,turbocharged,i6,RWD,automatic,7.0,coupe,Black,Black,clean,il,dealer,7,1,1,0,1,0,0,1,1,1
False,18750.0,chevrolet,c5 corvette,4000.0,5.7,Naturally Aspirated,v8,RWD,automatic,4.0,coupe,Red,Black,clean,il,private party,22,0,0,0,1,0,0,0,0,0
True,28000.0,bmw,z3,130300.0,3.2,Naturally Aspirated,i6,RWD,manual,5.0,coupe,Blue,Black,clean,wi,private party,25,0,0,0,1,0,0,1,1,1
True,24000.0,porsche,987 cayman,62000.0,3.4,Naturally Aspirated,flat-6,RWD,manual,6.0,coupe,Gray,Black,clean,co,private party,19,0,0,0,1,0,0,1,1,1
True,32750.0,bmw,4 series,37600.0,3.0,turbocharged,i6,4WD/AWD,manual,6.0,coupe,Blue,Black,clean,ny,private party,7,1,0,0,0,0,0,0,1,1
False,15500.0,chevrolet,camaro,76700.0,6.2,Naturally Aspirated,v8,RWD,automatic,6.0,coupe,Other,Black,clean,ca,dealer,11,0,0,0,1,0,1,0,1,1
True,242000.0,porsche,991 911,4700.0,4.0,Naturally Aspirated,flat-6,RWD,automatic,7.0,coupe,Other,Black,clean,tx,dealer,6,0,1,0,1,0,0,0,1,0
True,41000.0,chevrolet,c6 corvette,31100.0,7.0,Naturally Aspirated,v8,RWD,manual,6.0,coupe,Gray,Black,clean,ga,private party,17,0,0,0,1,0,0,1,1,1
True,57000.0,porsche,997 911,58800.0,3.6,Naturally Aspirated,flat-6,RWD,manual,6.0,coupe,Gray,Black,clean,md,private party,20,0,0,0,1,0,1,0,1,1
False,37750.0,audi,rs5,30600.0,2.9,turbocharged,v6,4WD/AWD,automatic,8.0,coupe,Gray,Black,clean,ga,private party,7,0,1,0,1,0,1,0,1,1
True,9750.0,bmw,1 series,126300.0,3.0,Naturally Aspirated,i6,RWD,manual,6.0,coupe,Red,Other,clean,or,private party,16,0,0,0,0,0,1,1,1,0
True,17500.0,cadillac,deville,47200.0,7.0,Naturally Aspirated,v8,RWD,automatic,3.0,coupe,Other,Other,clean,pa,dealer,46,0,0,0,0,0,0,0,1,0
True,26500.0,bmw,2 series,32300.0,3.0,turbocharged,i6,RWD,automatic,8.0,coupe,White,Black,clean,ca,private party,6,0,0,0,0,0,1,1,1,1
True,26750.0,bmw,8 series,51400.0,5.0,Naturally Aspirated,v12,RWD,manual,6.0,coupe,Black,Black,clean,nc,private party,33,0,0,0,1,0,1,0,1,1
True,24500.0,audi,tt rs,82900.0,2.5,turbocharged,i5,4WD/AWD,manual,6.0,coupe,Gray,Black,clean,md,private party,13,0,0,0,1,0,0,0,1,1
True,17850.0,mitsubishi,3000gt,89700.0,3.0,turbocharged,v6,4WD/AWD,manual,5.0,coupe,Red,Gray,clean,pa,private party,32,0,0,0,1,0,0,1,1,1
